,count,log_count,National_count,log_National_count,National_grid,log_National_grid,National_grid_p,logit_National_grid,,
Agaricus semotus,26,1.414973348,52,1.716003344,34,1.531478917,0.072805139,-1.105008979,,
Agaricus sylvicola,26,1.414973348,293,2.46686762,94,1.973127854,0.201284797,-0.598580978,,
Agrocybe praecox,4,0.602059991,177,2.247973266,81,1.908485019,0.173447537,-0.678102286,,
Amanita battarrae,4,0.602059991,228,2.357934847,89,1.949390007,0.190578158,-0.628101793,,
Amanita citrina,263,2.419955748,301,2.478566496,98,1.991226076,0.209850107,-0.57580029,,
Amanita excelsa,16,1.204119983,488,2.688419822,108,2.033423755,0.231263383,-0.521670693,,
Amanita fulva,2,0.301029996,228,2.357934847,55,1.740362689,0.117773019,-0.874534527,,
Amanita gemmata,152,2.181843588,120,2.079181246,47,1.672097858,0.100642398,-0.951151432,,
Amanita muscaria,54,1.73239376,584,2.766412847,145,2.161368002,0.310492505,-0.346487869,,
Amanita pantherina,41,1.612783857,241,2.382017043,74,1.86923172,0.158458244,-0.725160831,,
Amanita phalloides,3,0.477121255,297,2.472756449,93,1.968482949,0.199143469,-0.604388654,,
Amanita porphyria,105,2.021189299,152,2.181843588,72,1.857332496,0.154175589,-0.739264599,,
Amanita rubescens,187,2.271841607,933,2.969881644,169,2.227886705,0.361884368,-0.246329559,,
Amanita vaginata,5,0.698970004,325,2.511883361,110,2.041392685,0.235546039,-0.511275531,,
Amanita virosa,8,0.903089987,41,1.612783857,32,1.505149978,0.068522484,-1.133339279,,
Ampulloclitocybe clavipes,57,1.755874856,180,2.255272505,75,1.875061263,0.160599572,-0.718224804,,
Armillaria cepistipes,615,2.788875116,83,1.919078092,38,1.579783597,0.08137045,-1.052673696,,
Armillaria ostoyae,5323,3.726156466,218,2.338456494,70,1.84509804,0.149892934,-0.753692467,,
Asterophora parasitica,3,0.477121255,31,1.491361694,18,1.255272505,0.038543897,-1.396973836,,
Baeospora myosura,4,0.602059991,95,1.977723605,57,1.755874856,0.122055675,-0.856909001,,
Boletus edulis,99,1.995635195,563,2.750508395,149,2.173186268,0.319057816,-0.329240852,,
Boletus erythropus,36,1.556302501,523,2.718501689,110,2.041392685,0.235546039,-0.511275531,,
Boletus reticulatus,50,1.698970004,311,2.492760389,60,1.77815125,0.128479657,-0.831443159,,
Boletus subtomentosus,20,1.301029996,379,2.57863921,113,2.053078443,0.241970021,-0.495924819,,
Caloboletus calopus,4,0.602059991,216,2.334453751,80,1.903089987,0.17130621,-0.684620978,,
Chalciporus piperatus,48,1.681241237,340,2.531478917,108,2.033423755,0.231263383,-0.521670693,,
Chlorophyllum rachodes,65,1.812913357,231,2.36361198,76,1.880813592,0.162740899,-0.711363165,,
Chroogomphus helveticus,212,2.326335861,169,2.227886705,67,1.826074803,0.143468951,-0.775985189,,
Chroogomphus rutilus,9,0.954242509,261,2.416640507,78,1.892094603,0.167023555,-0.697854999,,
Clitocybe costata,3,0.477121255,115,2.06069784,60,1.77815125,0.128479657,-0.831443159,,
Clitocybe ditopa,117,2.068185862,153,2.184691431,80,1.903089987,0.17130621,-0.684620978,,
Clitocybe fuligineipes,30,1.477121255,5,0.698970004,4,0.602059991,0.00856531,-2.063521,,
Clitocybe gibba,1860,3.269512944,633,2.80140371,138,2.139879086,0.295503212,-0.377316812,,
Clitocybe houghtonii,278,2.444044796,2,0.301029996,1,0,0.002141328,-2.668385917,,
Clitocybe metachroa,47,1.672097858,146,2.164352856,73,1.86332286,0.156316916,-0.732173362,,
Clitocybe nebularis,340,2.531478917,674,2.828659897,154,2.187520721,0.329764454,-0.308023617,,
Clitocybe odora,9,0.954242509,186,2.269512944,86,1.934498451,0.184154176,-0.646426524,,
Clitocybe phaeophthalma,4,0.602059991,229,2.359835482,88,1.944482672,0.188436831,-0.634156538,,
Clitocybe phyllophila,3,0.477121255,112,2.049218023,62,1.792391689,0.132762313,-0.815063334,,
Clitocybe subspadicea,83,1.919078092,50,1.698970004,33,1.51851394,0.070663812,-1.11897579,,
Clitocybe vibecina,91,1.959041392,63,1.799340549,41,1.612783857,0.087794433,-1.016625742,,
Clitopilus prunulus,4,0.602059991,745,2.872156273,155,2.190331698,0.331905782,-0.303822896,,
Collybia cookei,8,0.903089987,77,1.886490725,45,1.653212514,0.096359743,-0.972099937,,
Collybia ozes,6,0.77815125,20,1.301029996,13,1.113943352,0.027837259,-1.543112501,,
Conocybe pygmaeoaffinis,12,1.079181246,6,0.77815125,6,0.77815125,0.012847966,-1.885549675,,
Conocybe vestita,1,0,18,1.255272505,16,1.204119983,0.034261242,-1.450056559,,
Coprinellus domesticus,118,2.071882007,65,1.812913357,46,1.662757832,0.098501071,-0.961524264,,
Coprinellus micaceus,80,1.903089987,339,2.530199698,104,2.017033339,0.222698073,-0.542873286,,
Cortinarius acutus,148,2.170261715,150,2.176091259,66,1.819543936,0.141327623,-0.783600437,,
Cortinarius alboviolaceus,3,0.477121255,22,1.342422681,16,1.204119983,0.034261242,-1.450056559,,
Cortinarius anomalus,464,2.666517981,359,2.555094449,129,2.11058971,0.276231263,-0.41832699,,
Cortinarius anthracinus,2,0.301029996,24,1.380211242,17,1.230448921,0.03640257,-1.422763592,,
Cortinarius armeniacus,53,1.72427587,36,1.556302501,21,1.322219295,0.04496788,-1.327115564,,
Cortinarius betuletorum,179,2.252853031,3,0.477121255,2,0.301029996,0.004282655,-2.366422957,,
Cortinarius bivelus,7,0.84509804,11,1.041392685,9,0.954242509,0.019271949,-1.706622969,,
Cortinarius bolaris,478,2.679427897,137,2.136720567,71,1.851258349,0.152034261,-0.746436837,,
Cortinarius brunneus,5,0.698970004,179,2.252853031,69,1.838849091,0.147751606,-0.761033981,,
Cortinarius callochrous,52,1.716003344,165,2.217483944,68,1.832508913,0.145610278,-0.768463983,,
Cortinarius caninus,1,0,127,2.103803721,37,1.568201724,0.079229122,-1.065266732,,
Cortinarius caperatus,3483,3.541953474,307,2.487138375,92,1.963787827,0.197002141,-0.61024344,,
Cortinarius casimiri,276,2.440909082,96,1.982271233,43,1.633468456,0.092077088,-0.993897401,,
Cortinarius cinnabarinus,5,0.698970004,25,1.397940009,23,1.361727836,0.049250535,-1.285655134,,
Cortinarius cinnamomeus,1,0,173,2.238046103,73,1.86332286,0.156316916,-0.732173362,,
Cortinarius citrinus,76,1.880813592,20,1.301029996,14,1.146128036,0.029978587,-1.509970166,,
Cortinarius claricolor,5,0.698970004,39,1.591064607,25,1.397940009,0.053533191,-1.247482261,,
Cortinarius cliduchus,161,2.206825876,25,1.397940009,15,1.176091259,0.032119914,-1.479047176,,
Cortinarius cotoneus,1,0,33,1.51851394,23,1.361727836,0.049250535,-1.285655134,,
Cortinarius damascenus,166,2.220108088,9,0.954242509,6,0.77815125,0.012847966,-1.885549675,,
Cortinarius decipiens,355,2.550228353,98,1.991226076,47,1.672097858,0.100642398,-0.951151432,,
Cortinarius eburneus,3,0.477121255,11,1.041392685,9,0.954242509,0.019271949,-1.706622969,,
Cortinarius epipoleus,4,0.602059991,27,1.431363764,15,1.176091259,0.032119914,-1.479047176,,
Cortinarius evernius,24,1.380211242,77,1.886490725,36,1.556302501,0.077087794,-1.078174769,,
Cortinarius flexipes,1918,3.282848603,344,2.536558443,121,2.08278537,0.259100642,-0.456290728,,
Cortinarius fulvo-ochrascens,6,0.77815125,35,1.544068044,19,1.278753601,0.040685225,-1.372524413,,
Cortinarius glaucopus,16,1.204119983,99,1.995635195,47,1.672097858,0.100642398,-0.951151432,,
Cortinarius hinnuleus,1,0,115,2.06069784,50,1.698970004,0.107066381,-0.921166051,,
Cortinarius humicola,6,0.77815125,31,1.491361694,26,1.414973348,0.055674518,-1.229465241,,
Cortinarius infractus,19,1.278753601,322,2.507855872,100,2,0.214132762,-0.564666064,,
Cortinarius largus,301,2.478566496,52,1.716003344,23,1.361727836,0.049250535,-1.285655134,,
Cortinarius malachius,4,0.602059991,40,1.602059991,18,1.255272505,0.038543897,-1.396973836,,
Cortinarius malicorius,2,0.301029996,74,1.86923172,43,1.633468456,0.092077088,-0.993897401,,
Cortinarius odorifer,3,0.477121255,269,2.42975228,81,1.908485019,0.173447537,-0.678102286,,
Cortinarius paragaudis,104,2.017033339,30,1.477121255,12,1.079181246,0.025695931,-1.578830151,,
Cortinarius parvannulatus,18,1.255272505,16,1.204119983,8,0.903089987,0.017130621,-1.758722699,,
Cortinarius pilatii,9,0.954242509,2,0.301029996,2,0.301029996,0.004282655,-2.366422957,,
Cortinarius porphyropus,2,0.301029996,10,1,8,0.903089987,0.017130621,-1.758722699,,
Cortinarius purpurascens,15,1.176091259,30,1.477121255,23,1.361727836,0.049250535,-1.285655134,,
Cortinarius rigens,57,1.755874856,83,1.919078092,45,1.653212514,0.096359743,-0.972099937,,
Cortinarius sanguineus,7,0.84509804,280,2.447158031,102,2.008600172,0.218415418,-0.553692693,,
Cortinarius sebaceus,78,1.892094603,11,1.041392685,4,0.602059991,0.00856531,-2.063521,,
Cortinarius spilomeus,9,0.954242509,99,1.995635195,51,1.707570176,0.109207709,-0.911523155,,
Cortinarius splendens,1,0,89,1.949390007,46,1.662757832,0.098501071,-0.961524264,,
Cortinarius stillatitius,2,0.301029996,75,1.875061263,37,1.568201724,0.079229122,-1.065266732,,
Cortinarius subporphyropus,32,1.505149978,5,0.698970004,3,0.477121255,0.006423983,-2.189396726,,
Cortinarius talus,1,0,4,0.602059991,4,0.602059991,0.00856531,-2.063521,,
Cortinarius torvus,3,0.477121255,24,1.380211242,17,1.230448921,0.03640257,-1.422763592,,
Cortinarius traganus,1,0,64,1.806179974,35,1.544068044,0.074946467,-1.091415702,,
Cortinarius trivialis,2,0.301029996,32,1.505149978,23,1.361727836,0.049250535,-1.285655134,,
Cortinarius uraceus,1,0,26,1.414973348,19,1.278753601,0.040685225,-1.372524413,,
Cortinarius variicolor,2,0.301029996,330,2.51851394,74,1.86923172,0.158458244,-0.725160831,,
Cortinarius varius,1,0,279,2.445604203,83,1.919078092,0.177730193,-0.665253132,,
Cortinarius venetus,12,1.079181246,243,2.385606274,85,1.929418926,0.182012848,-0.652644437,,
Cortinarius vibratilis,13,1.113943352,26,1.414973348,21,1.322219295,0.04496788,-1.327115564,,
Cortinarius vulpinus,59,1.770852012,15,1.176091259,12,1.079181246,0.025695931,-1.578830151,,
Crepidotus cesatii,23,1.361727836,325,2.511883361,116,2.064457989,0.248394004,-0.480849127,,
Cystoderma amianthinum,465,2.667452953,434,2.63748973,142,2.152288344,0.304068522,-0.359595017,,
Cystoderma carcharias,177,2.247973266,301,2.478566496,107,2.029383778,0.229122056,-0.526918723,,
Cystodermella granulosa,21,1.322219295,58,1.763427994,24,1.380211242,0.051391863,-1.266192485,,
Deconica phyllogena,3,0.477121255,14,1.146128036,9,0.954242509,0.019271949,-1.706622969,,
Entocybe nitida,29,1.462397998,96,1.982271233,53,1.72427587,0.113490364,-0.892724472,,
Entocybe turbida,7,0.84509804,22,1.342422681,16,1.204119983,0.034261242,-1.450056559,,
Entoloma cetratum,26,1.414973348,72,1.857332496,35,1.544068044,0.074946467,-1.091415702,,
Entoloma conferendum,43,1.633468456,141,2.149219113,76,1.880813592,0.162740899,-0.711363165,,
Entoloma cuneatum,6,0.77815125,10,1,9,0.954242509,0.019271949,-1.706622969,,
