,count,log_count,grid_count,log_grid,FRDBI_count,log_FRDBI_count,FRDBI_grid,log_FRDBI_grid,logit_grid,logit_FRDB_grid,,
Abortiporus biennis,10,1,8,0.903089987,905,2.956648579,346,2.539076099,-1.879382637,-0.7941696,,
Acanthonitschkea tristis,14,1.146128036,6,0.77815125,51,1.707570176,26,1.414973348,-2.005752329,-1.978426347,,
Acrogenospora sphaerocephala,1,0,1,0,60,1.77815125,36,1.556302501,-2.787460475,-1.835338203,,
Acrospermum compressum,5,0.698970004,5,0.698970004,295,2.469822016,168,2.225309282,-2.085647288,-1.142419264,,
Actinocladium rhodosporum,2,0.301029996,2,0.301029996,60,1.77815125,42,1.62324929,-2.485721426,-1.767332588,,
Agaricus arvensis,121,2.08278537,42,1.62324929,1544,3.188647296,530,2.72427587,-1.134146738,-0.570190357,,
Agaricus augustus,27,1.431363764,12,1.079181246,738,2.868056362,281,2.44870632,-1.700415245,-0.897450982,,
Agaricus bisporus,25,1.397940009,17,1.230448921,327,2.514547753,129,2.11058971,-1.54552541,-1.264341844,,
Agaricus bitorquis,23,1.361727836,15,1.176091259,349,2.542825427,160,2.204119983,-1.601335563,-1.165095875,,
Agaricus bresadolanus,5,0.698970004,4,0.602059991,83,1.919078092,41,1.612783857,-2.183269844,-1.777974672,,
Agaricus campestris var. campestris,112,2.049218023,55,1.740362689,2498,3.397592434,808,2.907411361,-1.007049118,-0.320988998,,
Agaricus cappellianus,6,0.77815125,3,0.477121255,132,2.120573931,76,1.880813592,-2.308919956,-1.503719023,,
Agaricus comtulus,21,1.322219295,15,1.176091259,266,2.424881637,137,2.136720567,-1.601335563,-1.236743154,,
Agaricus cupreobrunneus,1,0,1,0,68,1.832508913,34,1.531478917,-2.787460475,-1.860514155,,
Agaricus dulcidulus,15,1.176091259,11,1.041392685,173,2.238046103,91,1.959041392,-1.738924627,-1.422795408,,
Agaricus fuscofibrillosus,1,0,1,0,87,1.939519253,44,1.643452676,-2.787460475,-1.746775686,,
Agaricus impudicus,13,1.113943352,12,1.079181246,330,2.51851394,152,2.181843588,-1.700415245,-1.188854505,,
Agaricus langei,9,0.954242509,7,0.84509804,393,2.59439255,200,2.301029996,-1.938090651,-1.06069784,,
Agaricus moelleri,12,1.079181246,9,0.954242509,563,2.750508395,259,2.413299764,-1.827512865,-0.937142092,,
Agaricus osecanus,3,0.477121255,3,0.477121255,111,2.045322979,49,1.69019608,-2.308919956,-1.699147231,,
Agaricus placomyces,1,0,1,0,52,1.716003344,31,1.491361694,-2.787460475,-1.901159396,,
Agaricus porphyrizon,14,1.146128036,9,0.954242509,182,2.260071388,83,1.919078092,-1.827512865,-1.464198558,,
Agaricus silvicola var. silvicola,209,2.320146286,71,1.851258349,1375,3.138302698,450,2.653212514,-0.883541481,-0.658541347,,
Agaricus subperonatus,3,0.477121255,3,0.477121255,80,1.903089987,40,1.602059991,-2.308919956,-1.788875116,,
Agaricus sylvaticus,199,2.298853076,77,1.886490725,1985,3.297760511,616,2.789580712,-0.843483561,-0.485500186,,
Agaricus urinascens var. excellens,5,0.698970004,5,0.698970004,36,1.556302501,20,1.301029996,-2.085647288,-2.093421685,,
Agaricus urinascens var. urinascens,4,0.602059991,4,0.602059991,497,2.696356389,245,2.389166084,-2.183269844,-0.963980462,,
Agaricus xanthodermus,84,1.924279286,28,1.447158031,998,2.999130541,364,2.561101384,-1.320739585,-0.768499865,,
Agrocybe arvalis,3,0.477121255,3,0.477121255,158,2.198657087,62,1.792391689,-2.308919956,-1.594642012,,
Agrocybe cylindracea,36,1.556302501,20,1.301029996,359,2.555094449,140,2.146128036,-1.472756449,-1.226783967,,
Agrocybe erebia,12,1.079181246,7,0.84509804,573,2.758154622,272,2.434568904,-1.938090651,-0.913346282,,
Agrocybe molesta,15,1.176091259,12,1.079181246,334,2.523746467,149,2.173186268,-1.700415245,-1.198066361,,
Agrocybe paludosa,6,0.77815125,6,0.77815125,185,2.267171728,86,1.934498451,-2.005752329,-1.448238815,,
Agrocybe pediades,29,1.462397998,22,1.342422681,627,2.797267541,258,2.411619706,-1.429899026,-0.939015902,,
Agrocybe praecox,137,2.136720567,55,1.740362689,959,2.981818607,401,2.603144373,-1.007049118,-0.718868066,,
